Zfin olfactory system,Daniocell OE,Daniocell olfactory (not OE)
slc39a14,,
slc44a2,,
slc44a4,,
slitrk2,,
slitrk3b,,
smim20,,
smox,,
sncb,,
soul2,,
soul4,,
sox2,,
sox3,,
sox9b,,
sox10,,
sox11a,,
sox21a,,
sp8a,,
sp8b,,
spag6,,
spata4,,
spata18,,
spint1a,,
spint1b,,
spint2,,
spock2,,
spock3,,
spon1b,,
spred2b,,
spry1,,
sqstm1,,
srrm4,,
srsf5a,,
st8sia2,,
st8sia3,,
st8sia4,,
st8sia5,,
st14a,,
stk38l,,
stm,,
stmn2a,,
stmn2b,,
stmn4,,
strbp,,
stxbp1b,,
stxbp2,,
sult2st3,,
sult6b1,,
syn1,,
syn2a,,
syn3,,
syt1a,,
syt4,,
syt11a,,
taar1b,,
taar10,,
taar12f,,
taar13c,,
taar14d,,
taar15,,
taar19l,,
taar20t,,
tac1,,
tac3a,,
TagRFP,,
TagRFPT,,
tanc2a,,
tbr1a,,
tbr1b,,
tbx2a,,
tbx2b,,
tcea2,,
tcf12,,
tcima,,
tekt1,,
tekt2,,
telo2,,
tenm2a,,
tenm4,,
tfap2e,,
tfe3b,,
tgfb1a,,
th,,
thbs3a,,
thoc1,,
tiparp,,
tjp1a,,
tjp1b,,
tjp2a,,
tjp2b,,
tjp3,,
tmem86a,,
tmem184a,,
tnks1bp1,,
tob1a,,
Tomato,,
tp73,,
tpi1b,,
tpst1,,
trpc2a,,
trpc2b,,
trpc3,,
trpc4b,,
trpc7a,,
trpm2,,
trpv4,,
tsc22d1,,
tshz1,,
tshz2,,
tshz3b,,
tspan2a,,
tspan34b,,
tspo,,
ttll3,,
ttll6,,
ttpa,,
tuba1b,,
twist1a,,
txnb,,
txnipa,,
uchl1,,
ugt1b1,,
unc5b,,
unc119.1,,
unc119.2,,
unc119a,,
uncx,,
uncx4.1,,
vamp8,,
Venus,,
vgll4l,,
vmn2r1,,
vsig10,,
vwa5a,,
vwc2,,
wdr1,,
wdr11,,
wu:fb18f06,,
YFP,,
ypel1,,
ywhaz,,
zbtb10,,
zbtb18,,
zfhx3b,,
zfp36l1a,,
zgc:55461,,
zgc:63569,,
zgc:64106,,
zgc:77225,,
krt18b,,
zgc:91850,,
fthl27,,
zgc:92313,,
zgc:92380,,
zgc:100829,,
pitpnc1b,,
zgc:101731,,
zgc:101772,,
zgc:109913,,
krt99,,
zgc:112490,,
zgc:163022,,
zgc:174888,,
zmynd10,,
znrf1,,
