source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0005347,ATP transmembrane transporter activity,0.0012568109999961,True,"""Enables the transfer of ATP, adenosine triphosphate, from one side of a membrane to the other."" [GOC:ai]",8,76,2,21077,0.0263157894736842,0.25,query_1,"['GO:0000295', 'GO:0005346']"
GO:MF,GO:0120544,polypeptide conformation or assembly isomerase activity,0.0013978301560695,True,"""Catalysis of a reaction that alters the conformation or assembly of a polypeptide."" [EC:5.6.1.-]",96,76,4,21077,0.0526315789473684,0.0416666666666666,query_1,['GO:0120543']
GO:MF,GO:0022857,transmembrane transporter activity,0.0014087034874609,True,"""Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."" [GOC:jid, GOC:mtg_transport, ISBN:0815340729]",1229,76,13,21077,0.1710526315789473,0.0105777054515866,query_1,['GO:0005215']
GO:MF,GO:0005346,purine ribonucleotide transmembrane transporter activity,0.0014406206820826,True,"""Enables the transfer of a purine ribonucleotide, any compound consisting of a purine ribonucleoside (a purine organic base attached to a ribose sugar) esterified with (ortho)phosphate, from one side of a membrane to the other."" [GOC:ai]",9,76,2,21077,0.0263157894736842,0.2222222222222222,query_1,"['GO:0015216', 'GO:1901505']"
GO:MF,GO:0000295,adenine nucleotide transmembrane transporter activity,0.0014406206820826,True,"""Enables the transfer of adenine nucleotides (AMP, ADP, and ATP) from one side of a membrane to the other."" [PMID:11566870]",9,76,2,21077,0.0263157894736842,0.2222222222222222,query_1,['GO:0015216']
GO:MF,GO:0015216,purine nucleotide transmembrane transporter activity,0.0014406206820826,True,"""Enables the transfer of a purine nucleotide, any compound consisting of a purine nucleoside esterified with (ortho)phosphate, from one side of a membrane to the other."" [GOC:ai]",9,76,2,21077,0.0263157894736842,0.2222222222222222,query_1,['GO:0015215']
GO:CC,GO:0000220,"vacuolar proton-transporting V-type ATPase, V0 domain",0.0020307201937664,True,"""The V0 domain of a proton-transporting V-type ATPase found in the vacuolar membrane."" [GOC:mah, PMID:16449553]",7,56,2,12235,0.0357142857142857,0.2857142857142857,query_1,"['GO:0016471', 'GO:0033179']"
GO:MF,GO:0008308,voltage-gated monoatomic anion channel activity,0.0021450369955736,True,"""Enables the transmembrane transfer of an anion by a voltage-gated channel. An anion is a negatively charged ion. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded."" [GOC:mtg_transport, GOC:vw, ISBN:0815340729]",11,76,2,21077,0.0263157894736842,0.1818181818181818,query_1,"['GO:0005244', 'GO:0005253']"
GO:MF,GO:0008324,monoatomic cation transmembrane transporter activity,0.0022184280696494,True,"""Enables the transfer of cation from one side of a membrane to the other."" [GOC:dgf, GOC:mtg_transport, ISBN:0815340729]",541,76,8,21077,0.1052631578947368,0.0147874306839186,query_1,['GO:0015075']
GO:MF,GO:0003677,DNA binding,0.0025795222025443,True,"""Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."" [GOC:dph, GOC:jl, GOC:tb, GOC:vw]",1682,76,15,21077,0.1973684210526315,0.0089179548156956,query_1,['GO:0003676']
GO:MF,GO:0031492,nucleosomal DNA binding,0.0027422147129826,True,"""Binding to the DNA portion of a nucleosome."" [GOC:mah]",13,76,2,21077,0.0263157894736842,0.1538461538461538,query_1,"['GO:0031490', 'GO:0031491']"
GO:MF,GO:0031490,chromatin DNA binding,0.0027422147129826,True,"""Binding to DNA that is assembled into chromatin."" [GOC:mah]",13,76,2,21077,0.0263157894736842,0.1538461538461538,query_1,"['GO:0003677', 'GO:0003682']"
GO:MF,GO:0015215,nucleotide transmembrane transporter activity,0.0027422147129826,True,"""Enables the transfer of a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate, from one side of a membrane to the other."" [ISBN:0198506732]",13,76,2,21077,0.0263157894736842,0.1538461538461538,query_1,"['GO:0015605', 'GO:0015932']"
GO:CC,GO:0005874,microtubule,0.0027795733546235,True,"""Any of the long, generally straight, hollow tubes of internal diameter 12-15 nm and external diameter 24 nm found in a wide variety of eukaryotic cells; each consists (usually) of 13 protofilaments of polymeric tubulin, staggered in such a manner that the tubulin monomers are arranged in a helical pattern on the microtubular surface, and with the alpha/beta axes of the tubulin subunits parallel to the long axis of the tubule; exist in equilibrium with pool of tubulin monomers and can be rapidly assembled or disassembled in response to physiological stimuli; concerned with force generation, e.g. in the spindle."" [ISBN:0879693568]",85,56,4,12235,0.0714285714285714,0.0470588235294117,query_1,"['GO:0015630', 'GO:0099513']"
GO:MF,GO:0016787,hydrolase activity,0.0030563352702398,True,"""Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."" [ISBN:0198506732]",2494,76,19,21077,0.25,0.0076182838813151,query_1,['GO:0003824']
GO:MF,GO:0036094,small molecule binding,0.0034054622092795,True,"""Binding to a small molecule, any low molecular weight, monomeric, non-encoded molecule."" [GOC:curators, GOC:pde, GOC:pm]",5644,76,33,21077,0.4342105263157895,0.005846917080085,query_1,['GO:0005488']
GO:CC,GO:0005739,mitochondrion,0.0038024034676982,True,"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",340,56,7,12235,0.125,0.0205882352941176,query_1,"['GO:0005737', 'GO:0043231']"
GO:CC,GO:0016471,vacuolar proton-transporting V-type ATPase complex,0.0038024034676982,True,"""A proton-transporting two-sector ATPase complex found in the vacuolar membrane, where it acts as a proton pump to mediate acidification of the vacuolar lumen."" [GOC:mah, ISBN:0716743663, PMID:16449553]",10,56,2,12235,0.0357142857142857,0.2,query_1,"['GO:0005774', 'GO:0033176']"
GO:CC,GO:0005743,mitochondrial inner membrane,0.0038024034676982,True,"""The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."" [GOC:ai]",95,56,4,12235,0.0714285714285714,0.0421052631578947,query_1,"['GO:0019866', 'GO:0031966']"
GO:CC,GO:0019866,organelle inner membrane,0.0039778883943984,True,"""The inner, i.e. lumen-facing, lipid bilayer of an organelle envelope; usually highly selective to most ions and metabolites."" [GOC:mah]",97,56,4,12235,0.0714285714285714,0.0412371134020618,query_1,"['GO:0031090', 'GO:0031967']"
GO:MF,GO:0031491,nucleosome binding,0.0044830703936648,True,"""Binding to a nucleosome, a complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures."" [GOC:mah]",17,76,2,21077,0.0263157894736842,0.1176470588235294,query_1,"['GO:0003682', 'GO:0044877']"
GO:BP,GO:0045910,negative regulation of DNA recombination,0.0049722242892206,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of DNA recombination."" [GOC:go_curators]",5,57,2,14996,0.0350877192982456,0.4,query_1,"['GO:0000018', 'GO:0006310', 'GO:0051053']"
GO:MF,GO:0046873,metal ion transmembrane transporter activity,0.0050527163128482,True,"""Enables the transfer of metal ions from one side of a membrane to the other."" [GOC:ai]",361,76,6,21077,0.0789473684210526,0.0166204986149584,query_1,['GO:0008324']
GO:BP,GO:0022607,cellular component assembly,0.0055949980322091,True,"""The aggregation, arrangement and bonding together of a cellular component."" [GOC:isa_complete]",1277,57,14,14996,0.2456140350877192,0.0109631949882537,query_1,"['GO:0016043', 'GO:0044085']"
GO:BP,GO:0051053,negative regulation of DNA metabolic process,0.0055949980322091,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving DNA."" [GOC:ai]",7,57,2,14996,0.0350877192982456,0.2857142857142857,query_1,"['GO:0006259', 'GO:0010605', 'GO:0045934', 'GO:0051052']"
GO:BP,GO:0000018,regulation of DNA recombination,0.0055949980322091,True,"""Any process that modulates the frequency, rate or extent of DNA recombination, a DNA metabolic process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents."" [GOC:go_curators, ISBN:0198506732]",7,57,2,14996,0.0350877192982456,0.2857142857142857,query_1,"['GO:0006310', 'GO:0051052']"
GO:BP,GO:1990544,mitochondrial ATP transmembrane transport,0.0055949980322091,True,"""The process in which ATP is transported across a mitochondrial membrane, into or out of the mitochondrion."" [PMID:18485069]",7,57,2,14996,0.0350877192982456,0.2857142857142857,query_1,"['GO:0015867', 'GO:0072530', 'GO:1901679']"
GO:BP,GO:0140021,mitochondrial ADP transmembrane transport,0.0055949980322091,True,"""The process in which ADP is transported across a mitochondrial membrane, into or out of the mitochondrion."" [PMID:2541251]",7,57,2,14996,0.0350877192982456,0.2857142857142857,query_1,"['GO:0015866', 'GO:0072530', 'GO:1901679']"
GO:BP,GO:0055001,muscle cell development,0.0055949980322091,True,"""The process whose specific outcome is the progression of a muscle cell over time, from its formation to the mature structure. Muscle cell development does not include the steps involved in committing an unspecified cell to the muscle cell fate."" [CL:0000187, GOC:devbiol]",33,57,3,14996,0.0526315789473684,0.0909090909090909,query_1,"['GO:0042692', 'GO:0048468']"
GO:BP,GO:0015867,ATP transport,0.0064495409013027,True,"""The directed movement of ATP, adenosine triphosphate, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",8,57,2,14996,0.0350877192982456,0.25,query_1,"['GO:0015711', 'GO:0015868', 'GO:0051503']"
GO:BP,GO:0015866,ADP transport,0.0064495409013027,True,"""The directed movement of ADP, adenosine diphosphate, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",8,57,2,14996,0.0350877192982456,0.25,query_1,"['GO:0015711', 'GO:0015868', 'GO:0051503']"
GO:BP,GO:0042692,muscle cell differentiation,0.0066660277098922,True,"""The process in which a relatively unspecialized cell acquires specialized features of a muscle cell."" [CL:0000187, GOC:go_curators]",39,57,3,14996,0.0526315789473684,0.0769230769230769,query_1,"['GO:0030154', 'GO:0061061']"
GO:BP,GO:0044085,cellular component biogenesis,0.0067270335892107,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component. Includes biosynthesis of constituent macromolecules, and those macromolecular modifications that are involved in synthesis or assembly of the cellular component."" [GOC:jl, GOC:mah]",1375,57,14,14996,0.2456140350877192,0.0101818181818181,query_1,['GO:0071840']
GO:BP,GO:0015868,purine ribonucleotide transport,0.0067270335892107,True,"""The directed movement of a purine ribonucleotide, any compound consisting of a purine ribonucleoside (a purine organic base attached to a ribose sugar) esterified with (ortho)phosphate, into, out of or within a cell."" [GOC:ai]",10,57,2,14996,0.0350877192982456,0.2,query_1,"['GO:0015865', 'GO:1901264']"
GO:BP,GO:0051503,adenine nucleotide transport,0.0067270335892107,True,"""The directed movement of adenine nucleotides, ATP, ADP, and/or AMP, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",10,57,2,14996,0.0350877192982456,0.2,query_1,['GO:0015865']
GO:BP,GO:0003012,muscle system process,0.0067270335892107,True,"""An organ system process carried out at the level of a muscle. Muscle tissue is composed of contractile cells or fibers."" [GOC:mtg_cardio]",44,57,3,14996,0.0526315789473684,0.0681818181818181,query_1,['GO:0003008']
GO:BP,GO:1901679,nucleotide transmembrane transport,0.0067270335892107,True,"""The directed movement of nucleotide across a membrane."" [GOC:pr, GOC:TermGenie]",10,57,2,14996,0.0350877192982456,0.2,query_1,"['GO:0006862', 'GO:0055085']"
GO:BP,GO:0015865,purine nucleotide transport,0.0067270335892107,True,"""The directed movement of a purine nucleotide, any compound consisting of a purine nucleoside esterified with (ortho)phosphate, into, out of or within a cell."" [GOC:ai]",10,57,2,14996,0.0350877192982456,0.2,query_1,['GO:0006862']
