Gene,Cluster
wu:fc85c10,25
wu:fd14a01,42
wu:fd15e01,2
wu:fd15g03,12
wu:fd16e04,25
wu:fd59b07,13
wu:fe05d10,20
wu:fi06b09,6
wu:fi16g01,7
wu:fi32b03,17
wu:fi46h07,6
wu:fi75f05,49
wu:fi76g09,23
wu:fj02g05,8
wu:fj10g10,1
wu:fj24g11,37
wu:fj35g11,31
wu:fj36b10,21
wu:fj36c01,47
wu:fj43c10,50
wu:fj43f02,40
wu:fj47f07,5
wu:fj48b06,27
wu:fj51e01,39
wu:fj61c06,24
wu:fj62g06,25
wu:fj66f02,6
wu:fj78b08,4
wu:fj94c07,7
wu:fk47f04,2
wu:fk48d01,2
wu:fk56e06,16
wu:fm90e09,49
xpo1a,24
xpo1b,24
xx:tdsubc_2f2,18
ybx1,41
ykt6,15
ylpm1,33
ypel5,9
ywhaba,19
ywhabb,19
ywhag2,26
ywhaq,26
ywhaz,26
zERK2,6
zgc:100851,25
zgc:100889,5
zgc:100918,24
zgc:101566,9
zgc:101598,20
zgc:101604,29
zgc:101610,8
zgc:101761,25
zgc:103467,32
zgc:103508,10
zgc:103679,30
zgc:103752,25
zgc:109832,12
zgc:109957,4
zgc:109965,3
zgc:109968,44
zgc:109973,21
zgc:109979,27
zgc:109980,9
zgc:109997,2
zgc:110005,10
zgc:110021,6
zgc:110139,13
zgc:110350,25
zgc:110425,22
zgc:110551,48
zgc:110738,30
zgc:110766,30
zgc:111817,19
zgc:111896,10
zgc:111955,9
zgc:112053,23
zgc:112098,46
zgc:112138,24
zgc:112161,37
zgc:112318,13
zgc:112340,25
zgc:112471,2
zgc:112520,34
zgc:112538,13
zgc:114044,1
zgc:114051,39
zgc:114119,2
zgc:114165,19
zgc:114172,27
zgc:123210,22
zgc:123215,19
zgc:123327,1
zgc:123330,30
zgc:136591,2
zgc:136896,8
zgc:136952,44
zgc:152722,3
zgc:152801,33
zgc:152914,25
zgc:152965,6
zgc:152998,15
zgc:153661,30
zgc:153867,12
zgc:154091,6
zgc:158293,15
zgc:158423,29
zgc:158660,7
zgc:158677,3
zgc:158742,25
zgc:162944,23
zgc:163093,2
zgc:165520,2
zgc:171719,34
zgc:171967,18
zgc:194528,25
zgc:55429,11
zgc:55435,2
zgc:55485,22
zgc:55524,29
zgc:55558,7
zgc:55578,2
zgc:55597,2
zgc:55645,25
zgc:55743,6
zgc:55793,25
zgc:55809,39
zgc:55813,24
zgc:55876,43
zgc:56036,25
zgc:56049,5
zgc:56066,23
zgc:56235,42
zgc:56315,20
zgc:56317,23
zgc:56380,8
zgc:56389,2
zgc:56425,10
zgc:56516,2
zgc:56547,13
zgc:56568,2
zgc:56630,43
zgc:56659,43
zgc:56685,22
zgc:63505,3
zgc:63516,43
zgc:63559,21
zgc:63587,2
zgc:63642,37
zgc:63663,39
zgc:63872,18
zgc:63883,26
zgc:63904,24
zgc:63957,16
zgc:63995,9
zgc:64103,44
zgc:64133,48
zgc:64175,23
zgc:64204,43
zgc:65861,19
zgc:65867,23
zgc:65921,2
zgc:65936,5
zgc:65996,13
zgc:66109,25
zgc:66119,23
zgc:66168,4
zgc:66195,37
zgc:66214,10
zgc:66282,2
zgc:66314,37
zgc:73046,4
zgc:73049,8
zgc:73056,32
zgc:73057,44
zgc:73061,5
zgc:73085,17
zgc:73107,2
zgc:73108,4
zgc:73116,8
zgc:73118,2
zgc:73138,34
zgc:73139,13
zgc:73153,26
zgc:73198,23
zgc:73206,13
zgc:73210,23
zgc:73211,27
